loteria,fecha,numero,serie
cruz-roja,2022-05-10 00:00:00,2426,180
cruz-roja,2022-05-03 00:00:00,3515,197
cruz-roja,2022-04-26 00:00:00,3470,181
cruz-roja,2022-04-19 00:00:00,8185,036
cruz-roja,2022-04-12 00:00:00,6963,056
cruz-roja,2022-04-05 00:00:00,5672,025
cruz-roja,2022-03-29 00:00:00,8205,231
cruz-roja,2022-03-22 00:00:00,4618,176
cruz-roja,2022-03-15 00:00:00,5393,037
cruz-roja,2022-03-08 00:00:00,6033,167
cruz-roja,2022-03-01 00:00:00,0716,043
cruz-roja,2022-02-22 00:00:00,8240,015
cruz-roja,2022-02-15 00:00:00,6689,205
cruz-roja,2022-02-08 00:00:00,7654,005
cruz-roja,2022-02-01 00:00:00,8131,190
cruz-roja,2022-01-25 00:00:00,2091,174
cruz-roja,2022-01-18 00:00:00,1272,000
cruz-roja,2022-01-11 00:00:00,2759,030
cruz-roja,2022-01-04 00:00:00,9699,159
cruz-roja,2021-12-29 00:00:00,9399,238
cruz-roja,2021-12-21 00:00:00,6841,161
cruz-roja,2021-12-14 00:00:00,0829,077
cruz-roja,2021-12-07 00:00:00,2642,246
cruz-roja,2021-11-30 00:00:00,7684,000
cruz-roja,2021-11-23 00:00:00,5993,206
cruz-roja,2021-11-16 00:00:00,3337,065
cruz-roja,2021-11-09 00:00:00,7298,204
cruz-roja,2021-11-02 00:00:00,3953,181
cruz-roja,2021-10-26 00:00:00,5375,164
cruz-roja,2021-10-19 00:00:00,9510,193
cruz-roja,2021-10-12 00:00:00,1170,080
cruz-roja,2021-10-05 00:00:00,7349,024
cruz-roja,2021-09-28 00:00:00,5962,212
cruz-roja,2021-09-21 00:00:00,9467,210
cruz-roja,2021-09-14 00:00:00,8148,056
cruz-roja,2021-09-07 00:00:00,0550,115
cruz-roja,2021-08-31 00:00:00,5766,148
cruz-roja,2021-08-24 00:00:00,4886,079
cruz-roja,2021-08-17 00:00:00,2875,031
cruz-roja,2021-08-10 00:00:00,2823,196
cruz-roja,2021-08-03 00:00:00,2121,079
cruz-roja,2021-07-27 00:00:00,1062,013
cruz-roja,2021-07-21 00:00:00,7420,164
cruz-roja,2021-07-13 00:00:00,6658,123
cruz-roja,2021-07-06 00:00:00,6869,085
cruz-roja,2021-06-29 00:00:00,0762,184
cruz-roja,2021-06-22 00:00:00,8657,209
cruz-roja,2021-06-15 00:00:00,2592,090
cruz-roja,2021-06-08 00:00:00,6170,247
cruz-roja,2021-06-01 00:00:00,0881,038
cruz-roja,2021-05-25 00:00:00,9112,152
cruz-roja,2021-05-18 00:00:00,7876,247
cruz-roja,2021-05-11 00:00:00,9150,071
cruz-roja,2021-05-04 00:00:00,0713,057
cruz-roja,2021-04-27 00:00:00,4686,012
cruz-roja,2021-04-20 00:00:00,7418,172
cruz-roja,2021-04-13 00:00:00,2606,162
cruz-roja,2021-04-06 00:00:00,2558,058
cruz-roja,2021-03-30 00:00:00,9293,104
cruz-roja,2021-03-23 00:00:00,3976,125
cruz-roja,2021-03-16 00:00:00,5412,186
cruz-roja,2021-03-09 00:00:00,7115,051
cruz-roja,2021-03-02 00:00:00,0389,074
cruz-roja,2021-02-23 00:00:00,7536,066
cruz-roja,2021-02-16 00:00:00,2980,245
cruz-roja,2021-02-09 00:00:00,4817,066
cruz-roja,2021-02-02 00:00:00,9701,093
cruz-roja,2021-01-26 00:00:00,9735,033
cruz-roja,2021-01-19 00:00:00,6379,127
cruz-roja,2021-01-12 00:00:00,6989,052
cruz-roja,2021-01-05 00:00:00,1785,196
cruz-roja,2020-12-29 00:00:00,1587,233
cruz-roja,2020-12-22 00:00:00,2988,046
cruz-roja,2020-12-15 00:00:00,6967,052
cruz-roja,2020-12-09 00:00:00,2577,001
cruz-roja,2020-12-01 00:00:00,1494,137
cruz-roja,2020-11-24 00:00:00,5454,249
cruz-roja,2020-11-17 00:00:00,8358,092
cruz-roja,2020-11-10 00:00:00,2149,194
cruz-roja,2020-11-03 00:00:00,8652,199
cruz-roja,2020-10-27 00:00:00,3299,083
cruz-roja,2020-10-20 00:00:00,7589,208
cruz-roja,2020-10-13 00:00:00,0598,047
cruz-roja,2020-10-06 00:00:00,1639,033
cruz-roja,2020-09-29 00:00:00,4460,092
cruz-roja,2020-09-22 00:00:00,2431,242
cruz-roja,2020-09-15 00:00:00,8672,167
cruz-roja,2020-09-08 00:00:00,9894,208
cruz-roja,2020-09-01 00:00:00,5737,122
valle,2022-07-27 00:00:00,3354,052
valle,2022-07-21 00:00:00,7882,054
valle,2022-07-13 00:00:00,3069,100
valle,2022-07-06 00:00:00,5856,120
valle,2022-06-29 00:00:00,9980,146
valle,2022-06-22 00:00:00,0120,147
valle,2022-06-15 00:00:00,1298,090
valle,2022-06-08 00:00:00,5976,108
valle,2022-06-01 00:00:00,5642,022
valle,2022-05-25 00:00:00,5936,061
valle,2022-05-18 00:00:00,3056,221
valle,2022-05-11 00:00:00,6594,019
valle,2022-05-04 00:00:00,6598,050
valle,2022-04-27 00:00:00,7667,066
valle,2022-04-20 00:00:00,8386,044
valle,2022-04-13 00:00:00,3431,191
valle,2022-04-06 00:00:00,1163,063
valle,2022-03-30 00:00:00,9598,221
valle,2022-03-23 00:00:00,6309,107
valle,2022-03-16 00:00:00,5040,034
valle,2022-03-09 00:00:00,4954,040
valle,2022-03-02 00:00:00,9555,083
valle,2022-02-23 00:00:00,5141,119
valle,2022-02-16 00:00:00,4774,163
valle,2022-02-09 00:00:00,2266,018
valle,2022-02-02 00:00:00,6796,050
valle,2022-01-26 00:00:00,6508,141
valle,2022-01-19 00:00:00,8785,172
valle,2022-01-12 00:00:00,1955,116
valle,2022-01-05 00:00:00,5171,187
valle,2021-12-29 00:00:00,9644,164
valle,2021-12-22 00:00:00,1249,148
valle,2021-12-15 00:00:00,0959,077
valle,2021-12-09 00:00:00,9646,180
