loteria,fecha,numero,serie
boyaca,2015-02-14,5632,043
boyaca,2015-02-21,3168,034
boyaca,2015-02-28,5484,054
boyaca,2015-03-07,3914,141
boyaca,2015-03-14,0156,057
boyaca,2015-03-21,0023,168
boyaca,2015-03-28,3258,135
boyaca,2015-04-04,7434,098
boyaca,2015-04-11,4341,153
boyaca,2015-04-18,9436,011
boyaca,2015-04-25,7618,037
boyaca,2015-05-02,5401,136
boyaca,2015-05-09,6197,047
boyaca,2015-05-16,5027,142
boyaca,2015-05-23,0458,034
boyaca,2015-05-30,8288,063
boyaca,2015-06-06,7136,018
boyaca,2015-06-13,8048,022
boyaca,2015-06-20,4872,142
boyaca,2015-06-27,4286,074
boyaca,2015-07-04,0472,089
boyaca,2015-07-11,4574,007
boyaca,2015-07-18,8876,297
boyaca,2015-07-25,7156,096
boyaca,2015-08-01,1624,132
boyaca,2015-08-08,5234,064
boyaca,2015-08-15,9921,293
boyaca,2015-08-22,2540,243
boyaca,2015-08-29,6232,194
boyaca,2015-09-05,0590,030
boyaca,2015-09-12,6924,055
boyaca,2015-09-19,9536,285
boyaca,2015-09-26,3273,029
boyaca,2015-10-03,3473,185
boyaca,2015-10-10,0435,145
boyaca,2015-10-17,6703,290
boyaca,2015-10-24,8815,234
boyaca,2015-10-31,8952,194
boyaca,2015-11-07,7169,080
boyaca,2015-11-14,3172,192
boyaca,2015-11-21,7897,066
boyaca,2015-11-28,8547,261
boyaca,2015-12-05,2288,121
boyaca,2015-12-12,2465,198
boyaca,2015-12-19,8141,258
boyaca,2015-12-26,9044,053
boyaca,2016-01-02,9272,261
boyaca,2016-01-09,3955,107
boyaca,2016-01-16,3073,259
boyaca,2016-01-23,7511,296
boyaca,2016-01-30,2849,158
boyaca,2016-02-06,4029,045
boyaca,2016-02-13,0645,137
boyaca,2016-02-20,7207,052
boyaca,2016-02-27,0619,212
boyaca,2016-03-05,1341,109
boyaca,2016-03-12,8136,219
boyaca,2016-03-19,8166,259
boyaca,2016-03-26,6807,294
boyaca,2016-04-02,8333,027
boyaca,2016-04-09,0160,290
boyaca,2016-04-16,2938,091
boyaca,2016-04-23,6027,296
boyaca,2016-04-30,4708,235
boyaca,2016-05-07,8503,166
boyaca,2016-05-14,9980,055
boyaca,2016-05-21,5692,073
boyaca,2016-05-28,4406,046
boyaca,2016-06-04,2779,136
boyaca,2016-06-11,5529,163
boyaca,2016-06-18,7992,233
boyaca,2016-06-25,4521,211
boyaca,2016-07-02,7896,018
boyaca,2016-07-09,4338,244
boyaca,2016-07-16,1071,087
boyaca,2016-07-23,2281,225
boyaca,2016-07-30,7837,160
boyaca,2016-08-06,4451,185
boyaca,2016-08-13,6688,075
boyaca,2016-08-20,8013,204
boyaca,2016-08-27,2621,274
boyaca,2016-09-03,6213,015
boyaca,2016-09-10,5292,298
boyaca,2016-09-17,3270,182
boyaca,2016-09-24,6428,269
boyaca,2016-10-01,9294,173
boyaca,2016-10-08,4085,077
boyaca,2016-10-15,4476,205
boyaca,2016-10-22,2360,127
boyaca,2016-10-29,5887,047
boyaca,2016-11-05,9578,013
boyaca,2016-11-12,9492,216
