loteria,fecha,numero,serie
medellin,15/05/2015,7928,69
medellin,22/05/2015,9390,73
medellin,29/05/2015,1406,221
medellin,5/06/2015,700,120
medellin,12/06/2015,7744,282
medellin,19/06/2015,9586,287
medellin,26/06/2015,2708,176
medellin,3/07/2015,1929,51
medellin,10/07/2015,3559,183
medellin,17/07/2015,2611,222
medellin,24/07/2015,9002,290
medellin,31/07/2015,575,32
medellin,8/08/2015,6999,11
medellin,14/08/2015,4697,24
medellin,21/08/2015,6333,63
medellin,28/08/2015,8409,13
medellin,4/09/2015,6490,123
medellin,11/09/2015,2702,104
medellin,18/09/2015,1172,239
medellin,25/09/2015,2287,74
medellin,2/10/2015,9629,38
medellin,9/10/2015,8448,23
medellin,16/10/2015,1859,73
medellin,23/10/2015,2530,91
medellin,30/10/2015,4472,16
medellin,6/11/2015,7630,90
medellin,13/11/2015,8521,243
medellin,20/11/2015,2431,272
medellin,27/11/2015,4637,2
medellin,4/12/2015,2988,128
medellin,11/12/2015,1815,249
medellin,24/12/2015,7165,264
medellin,31/12/2015,1056,195
medellin,8/01/2016,9594,220
medellin,15/01/2016,3670,34
medellin,22/01/2016,133,293
medellin,29/01/2016,4338,85
medellin,5/02/2016,685,224
medellin,12/02/2016,4519,270
medellin,19/02/2016,1116,51
medellin,26/02/2016,7728,284
medellin,4/03/2016,2882,84
medellin,11/03/2016,6630,169
medellin,18/03/2016,6386,121
medellin,26/03/2016,2039,234
medellin,1/04/2016,7219,0
medellin,8/04/2016,181,237
medellin,15/04/2016,3596,160
medellin,22/04/2016,1181,292
medellin,29/04/2016,9183,265
medellin,6/05/2016,268,253
medellin,13/05/2016,2187,175
medellin,20/05/2016,5450,102
medellin,27/05/2016,5226,194
medellin,3/06/2016,5816,11
medellin,10/06/2016,3423,296
medellin,17/06/2016,2696,207
medellin,24/06/2016,575,99
medellin,1/07/2016,9896,159
medellin,8/07/2016,5823,185
medellin,15/07/2016,7131,255
medellin,22/07/2016,9550,144
medellin,29/07/2016,1176,123
medellin,5/08/2016,1228,86
medellin,12/08/2016,1335,19
medellin,19/08/2016,8100,83
medellin,26/08/2016,1897,49
medellin,2/09/2016,1449,37
medellin,9/09/2016,4554,207
medellin,16/09/2016,7594,146
medellin,23/09/2016,624,298
medellin,30/09/2016,8712,286
medellin,7/10/2016,8272,194
medellin,14/10/2016,6355,167
medellin,21/10/2016,6087,59
medellin,28/10/2016,1395,44
medellin,4/11/2016,4584,214
medellin,11/11/2016,6888,104
medellin,18/11/2016,2331,269
medellin,25/11/2016,981,250
medellin,2/12/2016,4006,293
medellin,9/12/2016,4944,51
medellin,16/12/2016,5241,175
medellin,30/12/2016,417,135
medellin,6/01/2017,4240,69
medellin,13/01/2017,4612,63
medellin,20/01/2017,6620,118
medellin,27/01/2017,5682,152
medellin,3/02/2017,6163,88
medellin,10/02/2017,8192,158
medellin,17/02/2017,5589,6
medellin,24/02/2017,8178,4
medellin,3/03/2017,7292,182
medellin,10/03/2017,9908,53
medellin,17/03/2017,6935,208
medellin,24/03/2017,9746,292
medellin,31/03/2017,2406,292
medellin,7/04/2017,4956,102
medellin,15/04/2017,7074,196
medellin,21/04/2017,8286,9
medellin,28/04/2017,9162,298
medellin,5/05/2017,4405,216
medellin,12/05/2017,3842,181
medellin,19/05/2017,9323,159
medellin,26/05/2017,9063,254
medellin,2/06/2017,7196,274
medellin,9/06/2017,2804,113
medellin,16/06/2017,7932,228
medellin,23/06/2017,2816,174
medellin,30/06/2017,2880,63
medellin,7/07/2017,9294,77
medellin,14/07/2017,8499,180
medellin,21/07/2017,5681,313
medellin,28/07/2017,3683,191
medellin,4/08/2017,5501,135
medellin,11/08/2017,4674,44
medellin,18/08/2017,3786,132
medellin,25/08/2017,3939,41
medellin,1/09/2017,6712,4
medellin,8/09/2017,5918,14
medellin,15/09/2017,8238,191
medellin,22/09/2017,6422,211
medellin,29/09/2017,7942,301
medellin,6/10/2017,9946,52
medellin,13/10/2017,1731,213
medellin,20/10/2017,839,272
medellin,27/10/2017,6780,53
medellin,3/11/2017,2416,38
medellin,10/11/2017,4823,231
medellin,17/11/2017,8676,58
medellin,24/11/2017,6834,271
medellin,1/12/2017,7429,329
medellin,9/12/2017,9389,176
medellin,15/12/2017,6334,35
medellin,22/12/2017,269,275
medellin,29/12/2017,7661,94
medellin,5/01/2018,587,177
medellin,12/01/2018,6511,2
medellin,19/01/2018,9627,266
medellin,26/01/2018,9248,119
medellin,2/02/2018,4444,130
medellin,9/02/2018,7958,124
medellin,16/02/2018,7954,106
medellin,23/02/2018,9791,54
medellin,2/03/2018,4809,121
medellin,9/03/2018,1295,249
medellin,16/03/2018,2531,308
medellin,23/03/2018,1780,32
medellin,31/03/2018,4786,47
medellin,6/04/2018,6631,186
medellin,13/04/2018,8642,268
medellin,20/04/2018,4272,208
medellin,27/04/2018,2647,228
medellin,4/05/2018,5801,210
medellin,11/05/2018,7976,334
medellin,18/05/2018,5653,157
medellin,25/05/2018,8975,130
medellin,1/06/2018,7129,51
medellin,8/06/2018,7462,70
medellin,15/06/2018,5444,179
medellin,22/06/2018,6706,147
medellin,29/06/2018,1786,205
medellin,6/07/2018,5943,263
medellin,13/07/2018,6024,248
medellin,21/07/2018,1540,145
medellin,27/07/2018,250,163
medellin,3/08/2018,821,336
medellin,10/08/2018,5105,335
medellin,17/08/2018,7525,163
medellin,24/08/2018,9285,212
medellin,31/08/2018,8808,152
medellin,7/09/2018,4410,210
medellin,14/09/2018,7321,100
medellin,21/09/2018,4430,154
medellin,28/09/2018,8012,214
medellin,5/10/2018,4592,257
medellin,12/10/2018,8273,53
medellin,19/10/2018,5840,242
medellin,26/10/2018,4201,295
medellin,2/11/2018,9975,139
medellin,9/11/2018,5471,71
medellin,16/11/2018,3091,81
medellin,23/11/2018,2451,164
medellin,30/11/2018,7678,21
medellin,7/12/2018,2719,19
medellin,14/12/2018,6285,73
medellin,21/12/2018,1515,261
medellin,28/12/2018,7621,49
medellin,4/01/2019,8251,147
medellin,11/01/2019,1500,330
medellin,18/01/2019,7765,12
medellin,25/01/2019,6922,87
medellin,1/02/2019,4461,98
medellin,8/02/2019,5151,135
medellin,15/02/2019,1803,274
medellin,22/02/2019,922,304
medellin,1/03/2019,9502,29
medellin,8/03/2019,9144,14
medellin,15/03/2019,3056,220
medellin,22/03/2019,5514,308
medellin,29/03/2019,4602,311
medellin,5/04/2019,1460,169
medellin,12/04/2019,9675,274
medellin,20/04/2019,1931,20
medellin,26/04/2019,6756,214
medellin,3/05/2019,1453,61
medellin,10/05/2019,6595,3
medellin,17/05/2019,3590,222
medellin,24/05/2019,3218,59
medellin,31/05/2019,9258,106
medellin,7/06/2019,7852,238
medellin,14/06/2019,4726,35
medellin,21/06/2019,8207,2
medellin,28/06/2019,77,13
medellin,5/07/2019,1938,257
medellin,12/07/2019,4916,132
medellin,19/07/2019,8047,222
medellin,26/07/2019,5458,304
medellin,2/08/2019,5240,276
medellin,9/08/2019,5279,214
medellin,16/08/2019,6945,161
medellin,23/08/2019,8456,91
medellin,30/08/2019,2098,308
medellin,6/09/2019,9990,152
medellin,13/09/2019,5249,91
medellin,20/09/2019,2717,218
medellin,27/09/2019,2507,126
medellin,4/10/2019,9129,320
medellin,11/10/2019,5797,120
medellin,18/10/2019,6787,139
medellin,25/10/2019,8509,124
medellin,1/11/2019,9061,308
medellin,8/11/2019,7667,201
medellin,15/11/2019,6283,16
medellin,22/11/2019,7852,160
medellin,29/11/2019,2222,118
medellin,6/12/2019,7060,304
medellin,13/12/2019,5479,228
medellin,20/12/2019,8899,200
medellin,27/12/2019,3097,326
medellin,3/01/2020,7384,184
